# path	purpose	owner/source URL	license	version/date	sha256	transformation	redistributable
src/demo/resources/textures/learnopengl/awesomeface.png	Demo texture	LearnOpenGL https://github.com/JoeyDeVries/LearnOpenGL/tree/master/resources/textures	CC-BY-NC-4.0	upstream master / 2026-07-18	5dc155999348fd0bdf8add6ffee11feb853dd2fcf556a97804a38301bd0bdb13	copied without transformation	yes
src/demo/resources/shaders/instancing/async-instanced.vert	Demo shader	Haikalat project	project license	v0.14	9a9bf192dafaf184ff93d69f71b22fda4879dfa2e3bf3363ded84f68eaceeb4c	project source	yes
src/demo/resources/shaders/basic/color-mvp.vert	Demo shader	Haikalat project	project license	v0.14	4869269f185cd9fd35af5dd1b97d002bb46d909d58a29e994dab62e28144cbe1	project source	yes
src/demo/resources/shaders/scene/color-scene.vert	Demo shader	Haikalat project	project license	v0.14	a73474c42dcc92151bd4d22e2c20754caa6db8ed49ebd8033b9b7daffcebb541	project source	yes
src/demo/resources/shaders/instancing/instanced-projview.vert	Demo shader	Haikalat project	project license	v0.14	69695d851e201a71ece774afb7a10e8e4936302eabfb882d2bf5597d4c53eb73	project source	yes
src/demo/resources/shaders/instancing/instanced-scene.vert	Demo shader	Haikalat project	project license	v0.14	20e60c25b2743302b1e89d35b56d5f8c9390f48f96fbfc303df38a7ccd0fcddf	project source	yes
src/demo/resources/scenes/configurations/learnopengl.properties	Demo scene manifest	Haikalat project	project license	v0.14	3bc12387810b9cf067bf7b12ebebd7a8db1a979a695cc34a3ad4a70672d643c3	project source	yes
src/demo/resources/shaders/scene/lit-scene.frag	Demo shader	Haikalat project	project license	v0.24.2 clustered / 2026-09-10	e8e74507cb5df0d4041df70dad2977c0037bc57eb968eebbdf855bbd4770d1bf	Migrated demo Phong shader to the unified clustered light table	yes
src/demo/resources/shaders/scene/model-scene.vert	Demo shader	Haikalat project	project license	v0.14	9fcf564030376afe1242e6bff9fe81e34d37fbb493516f77157e3f2e230fcc5b	project source	yes
src/demo/resources/models/obj/baseline-pyramid.obj	OBJ regression fixture	Haikalat project	project license	v0.14	c26a54b5649e416ce6f2309a74b43ff09e109786456e7a127b378f56460091b6	self-authored fixture	yes
src/demo/resources/shaders/basic/textured-mvp.vert	Demo shader	Haikalat project	project license	v0.14	66d92358e49b4ef683b758213ab3cd484eecd62adc44066d58d09f376d6ee81d	project source	yes
src/demo/resources/shaders/scene/textured-scene.vert	Demo shader	Haikalat project	project license	v0.14	5cdc408460522fa4272f5b13968f060de3675cbf8e98f96c4d1540cb13dd679e	project source	yes
src/demo/resources/shaders/basic/textured-unlit.frag	Demo shader	Haikalat project	project license	v0.14	d433957f9bf0a0f0ee6313018bffe5ff674fc62b73a2ebcf44b64e14d29e717d	project source	yes
src/demo/resources/shaders/basic/vertex-color-unlit.frag	Demo shader	Haikalat project	project license	v0.14	0816a90fd165c89c19fd178b6b705d7b235f24e05d3bcfb92dd3b984ccaf339e	project source	yes
src/demo/resources/scenes/gltf/animated-two-joint.gltf	glTF skinning regression fixture	Haikalat project	project license	Milestone 2 / 2026-07-25	4ef9033c64f499260352efced2955d1555b8440f32aec3eda8b183a77b5cc272	self-authored deterministic embedded-data fixture	yes
src/demo/resources/scenes/gltf/morph-shadow.gltf	glTF skin and Morph shadow regression fixture	Haikalat project	project license	v0.23.1 / 2026-08-19	ca47ad5685d2ec09ae7a13e8f92bc04ae3e8329abc7492cbd167eecbbf09524b	self-authored deterministic embedded-data fixture	yes
src/demo/resources/scenes/gltf/shadow-room.gltf	glTF indoor shadow receiver fixture	Haikalat project	project license	v0.23.1 / 2026-08-19	1d9656f1c2ea66598fe44e476214f65ee7300e550a2029b18c8b0ef93a609b58	self-authored deterministic embedded-data room fixture	yes
src/demo/resources/scenes/gltf/creeper.gltf	glTF Demo model	Project maintainer via Blockbench 5.1.4	project-maintainer redistribution grant	2026-07-19	ed38c0738fb66da7e6f69adc58156b3563989cdfda3c2edc294772888de3482c	user-provided embedded mesh and texture	yes
src/demo/resources/scenes/gltf/zombie.gltf	Animated glTF Demo model	Project maintainer via Blockbench 5.1.4	project-maintainer redistribution grant	2026-07-27	e9eb132a16bbfacaf4d02162b2b6d704440bf8550b307b60bb9c8c7d74a8f135	user-provided GeckoLib project exported as embedded glTF	yes
src/demo/resources/scenes/gltf/crouch_walk.glb	Animated glTF Demo model	Project maintainer via Blender glTF I/O	project-maintainer redistribution grant	2026-07-27	b51f906658536fddb901c2f589ac81ec777f7f482fd3e32146a821eb49298322	user-provided embedded GLB with split object actions; pixel-art minification corrected to NEAREST	yes
src/demo/resources/scenes/gltf/player_slie.gltf	Animated glTF Demo model	Project maintainer via Blockbench 5.1.4	project-maintainer redistribution grant	2026-07-28	e474bd5be0012752c64c89d0a8625cd18d8fcc87af9605dff0c631bcb49ce39d	user-provided self-contained embedded glTF with skin and animation2 playback	yes
src/demo/resources/scenes/gltf/player_wild/animation-library.json	External-animation Demo manifest	Haikalat project	project license	2026-08-04	a04324a4b5a5ce9373222b56f20145c1a7e90bf9fd623109dce3a1dc9dbb30e9	project-authored manifest for user-provided model and compact clips	yes
src/demo/resources/scenes/gltf/player_wild/serialized.scene.json	Serialized scene Demo descriptor	Haikalat project	project license	v0.21 M2 / 2026-08-06	b31f2cd08dcd9f4269b219f29a4093d2c44997f6d63b5ef4c7be82fad7725dfc	project-authored scene descriptor referencing player_wild	yes
src/demo/resources/scenes/gltf/player_wild/serialized.animation-graph.json	Serialized scene Animation Graph sidecar	Haikalat project	project license	v0.21 M3 / 2026-08-06	8181bbd3c33df725aabd9d0db0e74a07bf194bca0b50eff84187d9c5869a207b	project-authored typed graph sidecar	yes
src/demo/resources/scenes/gltf/player_wild/model/player_wild.gltf	External-animation Demo model	Project maintainer via Blockbench 5.1.6	project-maintainer redistribution grant	2026-08-04	7a5944d69ae64703dd9452864cb68e0294267f698c69659a6d1005c84785e2c7	user-provided embedded-buffer glTF; texture URI changed to steve.png	yes
src/demo/resources/scenes/gltf/player_wild/model/steve.png	External-animation Demo texture	Project maintainer	project-maintainer redistribution grant	2026-08-04	090da8d92c9f54fcbea87e6a2fb94125604a5a92a9ed6a52c10ee61c3b84bb79	user-provided PNG copied without transformation	yes
src/demo/resources/scenes/gltf/player_wild/animations/attack_light.animation.json	External-animation Demo clip	Project maintainer via haikalat_animation_tools	project-maintainer redistribution grant	2026-08-04	fb76814a9710dc0dcbbe87358097ea6a934f28f48940278f7fedd9f9438d72e0	user-provided compact animation JSON copied without transformation	yes
src/demo/resources/scenes/gltf/player_wild/animations/end_dash.animation.json	External-animation Demo clip	Project maintainer via haikalat_animation_tools	project-maintainer redistribution grant	2026-08-04	cb4b7123d08daab52b6315389e802f804cab8d825c46810467698f8361bf7fda	user-provided compact animation JSON copied without transformation	yes
src/demo/resources/scenes/gltf/player_wild/animations/idle_dash.animation.json	External-animation Demo clip	Project maintainer via haikalat_animation_tools	project-maintainer redistribution grant	2026-08-04	279bd6dccbb4b8465927d05e38948dcc37f6f08f3335d3a350a36a81a88fd485	user-provided compact animation JSON copied without transformation	yes
src/demo/resources/scenes/gltf/player_wild/animations/idle_default.animation.json	External-animation Demo clip	Project maintainer via haikalat_animation_tools	project-maintainer redistribution grant	2026-08-04	a0b6f87d17001f3f781e68bdf2366a9b9ba059763181e6ba1b3019b6b298a5f6	user-provided compact animation JSON copied without transformation	yes
src/demo/resources/scenes/gltf/player_wild/animations/idle_sword.animation.json	External-animation Demo clip	Project maintainer via haikalat_animation_tools	project-maintainer redistribution grant	2026-08-04	b0711d8b382e0d0fbb9d6fa647d3425dfb9764ff22fea8661d55013e8d2ffcbc	user-provided compact animation JSON copied without transformation	yes
src/demo/resources/scenes/gltf/player_wild/animations/move_default.animation.json	External-animation Demo clip	Project maintainer via haikalat_animation_tools	project-maintainer redistribution grant	2026-08-04	b3c9edfe4579317787d4fe766ce98e46292a2294e97dd87c077fd32055d75af5	user-provided compact animation JSON copied without transformation	yes
src/demo/resources/scenes/gltf/player_wild/animations/run_default.animation.json	External-animation Demo clip	Project maintainer via haikalat_animation_tools	project-maintainer redistribution grant	2026-08-04	41a28dbcead6e6f1fa98c8b1361d6440f31d35002d5c2cc2a08209cbd4a7aa04	user-provided compact animation JSON copied without transformation	yes
src/demo/resources/scenes/gltf/player_wild/animations/start_dash.animation.json	External-animation Demo clip	Project maintainer via haikalat_animation_tools	project-maintainer redistribution grant	2026-08-04	861691ad9581771c7d18766d5dc1d65b5129e52695627e08781897e103de8abd	user-provided compact animation JSON copied without transformation	yes
src/demo/resources/scenes/gltf/showcase.gltf	glTF regression fixture	Haikalat project	project license	v0.13 fixture / 2026-07-18	73d0da223125f7993900d567bf29b5fdd31e4e0dde5bc6d2eb2fbfbf3e0a34b1	self-authored embedded-data fixture	yes
src/demo/resources/scenes/gltf/scalability.gltf	glTF scalability fixture	Haikalat project	project license	v0.17 fixture / 2026-07-19	a551e64c964662e7ea31cf837e2e11f1b9e1037a36bbf1461e6ff1e8bbdc2916	self-authored deterministic embedded-data fixture	yes
src/demo/resources/environments/pbr/README.md	PBR asset notice	Haikalat project	project license	v0.14	71c6c3e0d6da6becfd45c9b1d6a526346fc3793cf9fbec450551e55b043af075	project documentation	yes
src/demo/resources/environments/pbr/studio-small.hdr	Deterministic PBR environment	Haikalat project	project license	v0.12 fixture	846da7b4d7807d6539560c9ceb79d6391224577bcf22b3e583515d84390d9190	self-authored 4x2 RGBE fixture	yes
src/demo/resources/scenes/gltf/radio.gltf	glTF Demo asset	Project maintainer; docs/licenses/radio-gltf.md	project-provided redistribution grant	2026-07-18	d94b3c152a76de4753e06633dfd3b96dda1d71cb16e8116c5b3a2a7c59d9ea2e	Blockbench 5.1.4 export	yes
src/demo/resources/ui/ui-demo.properties	UI Demo text	Haikalat project	project license	v0.14	64081cfd4eec83d86d015eca196c5725c6dc0140dba10532193f4f9873e6bca7	project source UTF-8	yes
src/demo/resources/textures/learnopengl/wall.png	Legacy Demo texture	Project maintainer	project-provided redistribution grant	pre-v0.14	f8a75cd56bfea6c88ff94d8ed3381278880c615ef43020bf726db8a595cae3a9	copied without transformation	yes
src/main/resources/shaders/postprocess/aces-tone-mapping.frag	Runtime shader	Haikalat project	project license	Milestone 2 / 2026-07-25	9d360f20f269a80d52bde84e092496bb9966dccf2b3bcd49d50a031d61d5ec24	project source	yes
src/main/resources/shaders/postprocess/bloom-downsample.frag	Runtime shader	Haikalat project	project license	v0.14	0ba4e078b14ecc1c31ed4634fc71ad9a115ecdf8007ade96ba09d5736d5d9fba	project source	yes
src/main/resources/shaders/postprocess/bloom-extract.frag	Runtime shader	Haikalat project	project license	v0.14	8e57788e542c561d7e51b99473e256392ad97c38fe7e4527e02682f3f5af9a26	project source	yes
src/main/resources/shaders/postprocess/bloom-upsample.frag	Runtime shader	Haikalat project	project license	v0.14	dc8124325658e0dd8b16888a905a99fa800618ab618c60d968b8ec0b888a0e25	project source	yes
src/main/resources/shaders/postprocess/distance-height-fog.frag	Runtime shader	Haikalat project	project license	Milestone 2 / 2026-07-25	25c71ab4c39dff9ee80870b2d8d71cc80381386cdfeb6c9453ab65bc6a113179	project source	yes
src/main/resources/shaders/postprocess/exposure-adaptation.frag	Runtime shader	Haikalat project	project license	v0.14	a0b1f7d1114ccd88281df056b807bbc4ba7feb15dbf0c840099c2b30fcec4f06	project source	yes
src/main/resources/shaders/postprocess/fxaa.frag	Runtime shader	Haikalat project	project license	v0.14	15be88e73615cf0812d91e4139279d43c61f369137cd4a6bf121b25b6b04476c	project source	yes
src/main/resources/shaders/postprocess/gtao-denoise.frag	Runtime shader	Haikalat project	project license	v0.24 repair / 2026-09-08	bbcb2f4656f5792aaa02608139cd9f530c13009e06e8335016f43b9ba69dd917	project source	yes
src/main/resources/shaders/postprocess/gtao-estimate.frag	Runtime shader	Haikalat project	project license	v0.24 integral repair / 2026-09-09	e67c77a9a1380475b3991432c117ef093ca160c0262af23fba4ff906c68f4753	project source	yes
src/main/resources/shaders/postprocess/gtao-quad.vert	Runtime shader	Haikalat project	project license	v0.23.2 / 2026-08-19	8da719e2645f3081bbb7194706be5dd637e3fe9e26f78c46e488d59fd6215681	project source	yes
